Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,OXPHOS subunits,-0.6864103839125726,-2.8967405713604846,0.0,0.0,0.0,69/82,25.30%,CYCS;COX5A;ATP5G1;COX6B2;ATPIF1;ATP5K;ATP5O;NDUFB8;COX5B;UQCR10;CYC1;NDUFA3;NDUFB7;NDUFC1;UQCR11;COX7A2;UQCRQ;COX6A1;UQCRC1;NDUFB10;NDUFB6;COX7B;COX8A;NDUFS8;NDUFV1;NDUFS7;COX6B1;ATP5G3;NDUFV2;NDUFA9;NDUFB5;ATP5B;SDHB;ATP5L;ATP5J2;NDUFA4;NDUFS6;NDUFAB1;NDUFA2;ATP5H;ATP5E;ATP5A1;NDUFA11;NDUFA12;NDUFB4;NDUFA5;NDUFB9;ATP5C1;HCCS;ATP5D;NDUFB2;COX6C;ATP5G2;NDUFS5;UQCRB;SDHC;NDUFV3;NDUFS2;COX4I1;NDUFA6;ATP5J;NDUFA10;NDUFB3;COX6A2;SDHD;NDUFA1;COX7C;NDUFA7;NDUFB11
prerank,OXPHOS,-0.5470948997902673,-2.48472547808712,0.0,0.0,0.0,84/136,25.30%,CMC2;CYCS;COX5A;ATP5G1;COX6B2;COX17;ATPIF1;ATP5K;ATP5O;NDUFB8;COX5B;UQCR10;NDUFAF6;UQCC2;CYC1;NDUFA3;NDUFB7;NDUFC1;UQCR11;COX7A2;UQCRQ;COX6A1;UQCRC1;NDUFB10;HIGD1A;NDUFB6;COX7B;COX8A;NDUFS8;NDUFV1;NDUFS7;COX6B1;ATP5G3;NDUFAF4;NDUFV2;NDUFA9;NDUFB5;ATP5B;SDHB;ATP5L;ATP5J2;NDUFA4;NDUFS6;NDUFAB1;NDUFA2;ATP5H;ATP5E;ATP5A1;NDUFA11;NDUFA12;NDUFB4;NDUFA5;NDUFB9;ATP5C1;HCCS;ATP5D;COA6;NDUFB2;COX6C;ATP5G2;NDUFS5;UQCRB;SDHC;NDUFV3;COA3;NDUFS2;COX14;COX4I1;FOXRED1;NDUFA6;SCO1;ATP5J;NDUFA10;NDUFB3;COX6A2;SDHD;NDUFA1;COX20;COX7C;SDHAF1;CEP89;TACO1;NDUFA7;NDUFB11
prerank,Mitochondrial ribosome,-0.5946359033361159,-2.4460241449671827,0.0,0.0,0.0,63/81,33.54%,MRPL12;MRPL54;MRPS22;MRPL20;MRPL18;MRPL36;MRPL37;MRPS21;MRPL42;MRPL47;MRPS26;MRPL35;CHCHD1;GADD45GIP1;MRPS18C;MRPS36;MRPS33;MRPS12;MRPL13;MRPL15;MRPS11;MRPS14;MRPL28;MRPL34;MRPS7;MRPS18B;MRPL49;MRPL1;MRPL30;MRPL16;MRPS15;MRPL51;MRPS10;MRPL39;MRPL32;MRPS24;MRPL14;MRPL55;MRPL41;MRPL50;MRPS18A;MRPS27;MRPL27;MRPS25;MRPS16;MRPL19;MRPS30;MRPS23;MRPL40;MRPS28;MRPL48;MRPL2;MRPL23;MRPL11;MRPL21;MRPL53;MRPL45;MRPS17;MRPL33;MRPL46;MRPS34;MRPS9;AURKAIP1
prerank,CI subunits,-0.6784965767753363,-2.430199803645311,0.0,0.0,0.0,30/36,25.30%,NDUFB8;NDUFA3;NDUFB7;NDUFC1;NDUFB10;NDUFB6;NDUFS8;NDUFV1;NDUFS7;NDUFV2;NDUFA9;NDUFB5;NDUFS6;NDUFAB1;NDUFA2;NDUFA11;NDUFA12;NDUFB4;NDUFA5;NDUFB9;NDUFB2;NDUFS5;NDUFV3;NDUFS2;NDUFA6;NDUFA10;NDUFB3;NDUFA1;NDUFA7;NDUFB11
prerank,CV subunits,-0.7900038185578893,-2.2234411391427162,0.0,0.0004412077397405911,0.001,14/15,16.75%,ATP5G1;ATPIF1;ATP5K;ATP5O;ATP5G3;ATP5B;ATP5L;ATP5J2;ATP5H;ATP5E;ATP5A1;ATP5C1;ATP5D;ATP5G2
prerank,Complex V,-0.7163092274279181,-2.143400839627128,0.0,0.0007353462329009852,0.002,14/18,16.75%,ATP5G1;ATPIF1;ATP5K;ATP5O;ATP5G3;ATP5B;ATP5L;ATP5J2;ATP5H;ATP5E;ATP5A1;ATP5C1;ATP5D;ATP5G2
prerank,Complex I,-0.5534130261080317,-2.142509683697039,0.0,0.0006302967710579873,0.002,40/54,32.84%,NDUFB8;NDUFAF6;NDUFA3;NDUFB7;NDUFC1;NDUFB10;NDUFB6;NDUFS8;NDUFV1;NDUFS7;NDUFAF4;NDUFV2;NDUFA9;NDUFB5;NDUFS6;NDUFAB1;NDUFA2;NDUFA11;NDUFA12;NDUFB4;NDUFA5;NDUFB9;NDUFB2;NDUFS5;NDUFV3;NDUFS2;FOXRED1;NDUFA6;NDUFA10;NDUFB3;NDUFA1;NDUFA7;NDUFB11;NDUFA13;NDUFC2;NDUFAF3;NDUFA8;AIFM1;NDUFAF2;NDUFAF5
prerank,CIV subunits,-0.7093561080296205,-2.065528041320356,0.0,0.0011030193493514777,0.004,13/16,24.35%,COX5A;COX6B2;COX5B;COX7A2;COX6A1;COX7B;COX8A;COX6B1;NDUFA4;COX6C;COX4I1;COX6A2;COX7C
prerank,Protein import and sorting,-0.5314096505153038,-1.9561487378640596,0.0,0.003921846575471921,0.015,29/47,28.69%,TIMM8A1;TIMM50;GRPEL1;TOMM40;TIMM23;TIMM13;UQCRC1;MTX1;DNAJC15;TOMM6;TOMM20;TOMM5;SAMM50;PAM16;TOMM22;DNAJC19;MIPEP;TIMM17A;ROMO1;TIMM8B;TOMM7;TIMM17B;GFER;GRPEL2;DNAJC11;TIMM10;UQCRC2;TOMM40L;PMPCA
prerank,TCA cycle,-0.6175971597272464,-1.9214211395689975,0.0,0.005294492876887093,0.022,16/20,32.75%,IDH3A;DLST;MDH2;SDHB;MRPS36;FH1;IDH2;SDHC;IDH3G;SUCLA2;SDHD;ACO2;SUCLG1;SDHA;OGDH;DLD
