Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,OXPHOS subunits,-0.6776198998763792,-2.694880105352496,0.0,0.0,0.0,73/82,29.28%,ATP5K;NDUFA3;NDUFC1;NDUFA4;UQCR10;COX7B;COX5A;COX7A2;UQCRQ;ATPIF1;ATP5L;COX6C;NDUFB7;CYCS;UQCR11;ATP5G1;COX7C;COX5B;COX6B1;ATP5J2;NDUFB6;ATP5E;NDUFA11;NDUFA2;COX8A;NDUFB2;NDUFB3;ATP5O;NDUFA6;NDUFA12;COX4I1;NDUFC2;COX6A1;NDUFB4;NDUFA5;NDUFB5;NDUFB8;NDUFB10;UQCRB;NDUFA7;NDUFS5;NDUFS6;SDHB;NDUFB11;ATP5H;HCCS;ATP5B;UQCRFS1;NDUFA9;ATP5D;NDUFS7;NDUFB9;UQCRH;NDUFA1;COX6A2;NDUFV2;NDUFA13;NDUFS8;UQCRC1;CYC1;COX7A1;ATP5G3;NDUFAB1;ATP5J;ATP5C1;NDUFS3;UQCRC2;NDUFA10;NDUFV1;ATP5A1;COX6B2;NDUFS4;NDUFV3
prerank,OXPHOS,-0.5669593548079398,-2.4559453859131524,0.0,0.0,0.0,91/136,29.38%,COX17;ATP5K;NDUFA3;NDUFC1;NDUFA4;UQCR10;COX7B;COX5A;COX7A2;UQCRQ;ATPIF1;ATP5L;COX6C;NDUFB7;CYCS;UQCR11;ATP5G1;COX7C;COX5B;COX6B1;ATP5J2;NDUFB6;ATP5E;NDUFA11;NDUFA2;COX8A;NDUFB2;NDUFB3;ATP5O;COX19;HIGD1A;NDUFA6;NDUFA12;NDUFAF3;COX4I1;CMC2;NDUFC2;COX6A1;NDUFB4;COX20;NDUFA5;NDUFB5;HIGD2A;NDUFB8;PET100;NDUFB10;UQCRB;NDUFA7;UQCC2;NDUFS5;NDUFS6;COA3;SDHB;NDUFB11;ATP5H;HCCS;ATP5B;UQCRFS1;NDUFA9;ATP5D;NDUFS7;NDUFB9;UQCRH;NDUFA1;COX6A2;NDUFV2;NDUFA13;NDUFS8;NDUFAF6;UQCRC1;CYC1;COA6;COX14;COX7A1;COX11;ATP5G3;NDUFAB1;ATP5J;COX15;ATP5C1;NDUFS3;NDUFAF4;SMIM20;UQCRC2;NDUFA10;NDUFV1;ATP5A1;COX6B2;NDUFS4;NDUFV3;CMC1
prerank,Mitochondrial ribosome,-0.5809944735832427,-2.3270715985451194,0.0,0.0,0.0,53/81,28.07%,MRPS21;MRPL32;MRPL16;MRPL54;MRPS18C;MRPL52;MRPL41;MRPL36;MRPL18;MRPL1;MRPL34;MRPL30;MRPS31;MRPL42;MRPS36;MRPS34;MRPL15;MRPL23;MRPS28;GADD45GIP1;MRPL55;MRPS33;MRPL35;MRPL33;MRPL47;MRPS18A;MRPL12;MRPS15;MRPS35;MRPS18B;MRPS26;CHCHD1;MRPL11;MRPL48;MRPL20;MRPL51;MRPS14;MRPS10;MRPS24;AURKAIP1;MRPS22;MRPL46;MRPS11;MRPL21;MRPL13;MRPS23;MRPL53;MRPS12;MRPL22;MRPL37;MRPS9;DAP3;MRPS7
prerank,CI subunits,-0.6786702344907497,-2.246709059917043,0.0,0.0,0.0,33/36,29.28%,NDUFA3;NDUFC1;NDUFB7;NDUFB6;NDUFA11;NDUFA2;NDUFB2;NDUFB3;NDUFA6;NDUFA12;NDUFC2;NDUFB4;NDUFA5;NDUFB5;NDUFB8;NDUFB10;NDUFA7;NDUFS5;NDUFS6;NDUFB11;NDUFA9;NDUFS7;NDUFB9;NDUFA1;NDUFV2;NDUFA13;NDUFS8;NDUFAB1;NDUFS3;NDUFA10;NDUFV1;NDUFS4;NDUFV3
prerank,CIV subunits,-0.7404997502739559,-2.0852232861579147,0.0,0.000332324491128123,0.001,11/16,11.61%,NDUFA4;COX7B;COX5A;COX7A2;COX6C;COX7C;COX5B;COX6B1;COX8A;COX4I1;COX6A1
prerank,Translation,-0.467924199744312,-2.0539988240662383,0.0,0.0008308112278203074,0.003,73/147,28.07%,MRPS21;SLIRP;MRPL32;MRPL16;MRPL54;MRPS18C;MRPL52;MRPL41;MRPL36;MRPL18;MRPL1;MRPL34;MRPL30;MRPS31;RBFA;MRPL42;MRPS36;MRPS34;MRPL15;MRPL23;MRPS28;GADD45GIP1;MRPL55;MRPS33;MRPL35;COA3;MRPL33;MRPL47;MRPS18A;MRPL12;MRPS15;MRPS35;MRPS18B;MRPS26;CHCHD1;MRPL11;MRRF;MTRF1L;MRPL48;MRPL20;MRPL51;MRPS14;MRPS10;YARS2;SARS2;RMND1;MRPS24;QRSL1;AURKAIP1;TSFM;MRPS22;MRPL46;FASTKD2;MRPS11;MRPL21;MRPL13;COX14;MRPS23;GFM2;EARS2;MRPL53;MRPS12;MARS2;FARS2;TUFM;DDX28;MRPL22;MALSU1;MRPL37;MRPS9;DAP3;MTRF1;MRPS7
prerank,Complex IV,-0.5598322973269795,-1.9948281666182044,0.0,0.0016616224556406148,0.007,27/42,29.38%,COX17;NDUFA4;COX7B;COX5A;COX7A2;COX6C;COX7C;COX5B;COX6B1;COX8A;COX19;HIGD1A;COX4I1;CMC2;COX6A1;COX20;PET100;COA3;COX6A2;COA6;COX14;COX7A1;COX11;COX15;SMIM20;COX6B2;CMC1
prerank,Complex I,-0.5435235669761294,-1.9771940361368667,0.0,0.001869325262595692,0.009,36/54,29.28%,NDUFA3;NDUFC1;NDUFB7;NDUFB6;NDUFA11;NDUFA2;NDUFB2;NDUFB3;NDUFA6;NDUFA12;NDUFAF3;NDUFC2;NDUFB4;NDUFA5;NDUFB5;NDUFB8;NDUFB10;NDUFA7;NDUFS5;NDUFS6;NDUFB11;NDUFA9;NDUFS7;NDUFB9;NDUFA1;NDUFV2;NDUFA13;NDUFS8;NDUFAF6;NDUFAB1;NDUFS3;NDUFAF4;NDUFA10;NDUFV1;NDUFS4;NDUFV3
prerank,Protein import and sorting,-0.5220567155774646,-1.8753560707923838,0.0,0.008308112278203075,0.044,25/47,30.06%,DNAJC15;ROMO1;TOMM7;TOMM6;TIMM13;TIMM8B;TIMM8A1;PAM16;TOMM20;TIMM23;TOMM22;UQCRC1;TOMM5;DNAJC19;GRPEL1;TIMM17A;IMMP1L;IMMP2L;SAMM50;UQCRC2;TIMM50;MIPEP;TIMM10B;TOMM40L;MTX1
prerank,Mitochondrial central dogma,-0.40771284433115934,-1.87426672663496,0.0,0.007643463295946828,0.045,111/218,35.12%,METTL4;MRPS21;SLIRP;MTERF1B;OSGEPL1;MRPL32;MRPL16;MRPL54;MRPS18C;MRPL52;MRPL41;MRPL36;MRPL18;MRPL1;MRPL34;PIF1;MRPL30;MRPS31;FASTKD1;RBFA;MRPL42;MUTYH;MRPS36;MRPS34;MRPL15;MRPL23;MRPS28;GADD45GIP1;MRPL55;MRPS33;MRPL35;COA3;MRPL33;MRPL47;MRPS18A;MRPL12;MRPS15;MRPS35;MRPS18B;MRPS26;CHCHD1;MRPL11;MTO1;MRRF;MTRF1L;MRPL48;MRPL20;MTPAP;MRPL51;MRPS14;MRPS10;YARS2;SARS2;RMND1;MRPS24;QRSL1;RPUSD3;AURKAIP1;TSFM;MRPS22;DUS2;MRPL46;FASTKD2;MRPS11;MRPL21;MRPL13;TRMT5;COX14;RECQL4;MRPS23;TRMU;GFM2;EARS2;LACTB2;MRPL53;MRPS12;MARS2;FARS2;TUFM;DDX28;MRPL22;MALSU1;MRPL37;YRDC;MRPS9;DAP3;PRIMPOL;MTRF1;CDK5RAP1;MRPS7;POLQ;MRPS16;LIG3;METTL5;MRPS27;PDE12;SUPV3L1;PUSL1;POLDIP2;MRPL14;DARS2;SSBP1;TOP3A;MYG1;MRPS17;MRPL28;FASTKD3;MPV17L2;MRPS25;LARS2;MRPL50
