Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,OXPHOS subunits,-0.8311689050530537,-4.144123138254891,0.0,0.0,0.0,72/82,13.47%,UQCRC1;COX5A;NDUFB8;CYC1;NDUFA12;NDUFS7;NDUFB7;ATP5G1;NDUFA9;NDUFC1;ATP5O;NDUFA11;CYCS;NDUFB9;NDUFS8;UQCR10;ATP5C1;NDUFA5;NDUFV2;ATP5D;UQCR11;NDUFV1;COX4I1;NDUFA10;NDUFB6;NDUFS6;COX5B;ATPIF1;NDUFB10;UQCRQ;SDHB;COX8A;ATP5A1;ATP5B;NDUFA2;ATP5J;NDUFA13;ATP5L;COX6B1;NDUFV3;UQCRFS1;NDUFS3;COX6A1;NDUFS2;SDHA;NDUFA7;NDUFB5;ATP5H;NDUFAB1;ATP5J2;UQCRB;NDUFS5;NDUFB2;COX6C;NDUFA3;NDUFA6;UQCRH;COX7A2;UQCRC2;NDUFA4;ATP5K;SDHC;NDUFS4;NDUFC2;NDUFB4;NDUFA8;ATP5E;COX7B;COX7A2L;COX6B2;ATP5G3;COX7C
prerank,OXPHOS,-0.7371213867592813,-3.9330388574092345,0.0,0.0,0.0,103/136,17.54%,UQCRC1;COX5A;NDUFB8;CYC1;NDUFA12;NDUFS7;NDUFB7;ATP5G1;NDUFA9;NDUFC1;ATP5O;NDUFA11;CYCS;NDUFB9;NDUFS8;UQCR10;ATP5C1;NDUFA5;COA3;NDUFV2;ATP5D;UQCR11;NDUFV1;COX4I1;NDUFA10;NDUFB6;NDUFS6;COX5B;ATPIF1;NDUFB10;UQCRQ;SDHB;COX8A;HIGD1A;ATP5A1;ATP5B;NDUFA2;UQCC2;ATP5J;NDUFA13;ATP5L;COX6B1;NDUFV3;UQCRFS1;NDUFS3;COX6A1;NDUFS2;SDHA;COX14;NDUFA7;NDUFB5;SMIM20;COX10;ATP5H;NDUFAB1;ATP5J2;UQCRB;NDUFS5;NDUFB2;COX6C;NDUFA3;NDUFA6;CMC2;UQCRH;COX7A2;UQCRC2;NDUFA4;ATP5K;SDHC;SDHAF1;AIFM1;NDUFAF5;NDUFAF6;NDUFS4;NDUFC2;NDUFB4;NDUFA8;ATP5E;COX18;COX7B;NDUFAF2;COX7A2L;NDUFAF1;NDUFAF7;COX6B2;ATP5G3;ECSIT;ATPAF1;COX7C;TMEM70;NDUFAF3;COA4;BCS1L;COX20;COA7;PNKD;UQCC1;NDUFB11;NDUFS1;HCCS;NUBPL;SCO2;HIGD2A
prerank,Mitochondrial ribosome,-0.7758271549052597,-3.8205634634835555,0.0,0.0,0.0,66/81,16.22%,MRPS18A;MRPL12;MRPS26;MRPL28;MRPL54;MRPL36;MRPL18;MRPS12;MRPS10;MRPS24;MRPS18C;MRPL20;MRPL40;MRPS14;MRPL42;MRPS33;MRPS15;MRPS18B;MRPL35;MRPL17;GADD45GIP1;MRPL15;MRPL41;AURKAIP1;MRPL45;MRPL30;MRPL46;MRPL48;MRPL55;MRPL23;MRPS21;MRPL19;MRPL2;MRPL51;MRPL34;MRPS16;MRPL16;CHCHD1;MRPL14;MRPL37;MRPS17;MRPS7;MRPS23;MRPL11;MRPS30;MRPL4;MRPS11;DAP3;MRPL13;MRPS27;MRPS36;MRPL21;MRPL44;MRPS22;MRPS34;MRPS9;MRPL24;MRPS35;MRPL38;MRPS5;MRPL22;MRPS6;MRPL3;MRPL50;MRPL43;MRPL52
prerank,CI subunits,-0.8652699927120774,-3.7667194094815084,0.0,0.0,0.0,32/36,10.70%,NDUFB8;NDUFA12;NDUFS7;NDUFB7;NDUFA9;NDUFC1;NDUFA11;NDUFB9;NDUFS8;NDUFA5;NDUFV2;NDUFV1;NDUFA10;NDUFB6;NDUFS6;NDUFB10;NDUFA2;NDUFA13;NDUFV3;NDUFS3;NDUFS2;NDUFA7;NDUFB5;NDUFAB1;NDUFS5;NDUFB2;NDUFA3;NDUFA6;NDUFS4;NDUFC2;NDUFB4;NDUFA8
prerank,Complex I,-0.7938258623867457,-3.6968286672432256,0.0,0.0,0.0,44/54,17.21%,NDUFB8;NDUFA12;NDUFS7;NDUFB7;NDUFA9;NDUFC1;NDUFA11;NDUFB9;NDUFS8;NDUFA5;NDUFV2;NDUFV1;NDUFA10;NDUFB6;NDUFS6;NDUFB10;NDUFA2;NDUFA13;NDUFV3;NDUFS3;NDUFS2;NDUFA7;NDUFB5;NDUFAB1;NDUFS5;NDUFB2;NDUFA3;NDUFA6;AIFM1;NDUFAF5;NDUFAF6;NDUFS4;NDUFC2;NDUFB4;NDUFA8;NDUFAF2;NDUFAF1;NDUFAF7;ECSIT;TMEM70;NDUFAF3;NDUFB11;NDUFS1;NUBPL
prerank,Protein import and sorting,-0.771275618483588,-3.477602547097651,0.0,0.0,0.0,36/47,16.75%,UQCRC1;TIMM50;DNAJC15;GRPEL1;TIMM17A;TIMM23;TOMM40;SAMM50;TIMM8A1;TOMM6;TIMM13;TIMM17B;GFER;DNAJC19;PAM16;TOMM5;TOMM20;TOMM22;ROMO1;TIMM22;TIMM10B;UQCRC2;MTX1;CHCHD4;AIFM1;TIMM44;TIMM8B;PMPCA;DNAJC11;TIMM10;MTX2;TOMM20L;IMMP2L;TOMM34;IMMP1L;TOMM40L
prerank,Translation,-0.6265762029474832,-3.453620107014934,0.0,0.0,0.0,104/147,21.70%,MRPS18A;MRPL12;MRPS26;RBFA;MRPL28;MRPL54;MRPL36;COA3;MRPL18;MRPS12;MRPS10;MRPS24;MRPS18C;MRPL20;MRPL40;MRPS14;MRPL42;MRPS33;MRPS15;MRPS18B;GARS;MRPL35;MRPL17;GADD45GIP1;MRPL15;MRPL41;AURKAIP1;MRPL45;MRPL30;MRPL46;MRPL48;MRPL55;COX14;MRPL23;MRPS21;MRPL19;MRPL2;MTIF3;MPV17L2;MRPL51;MRPL34;TSFM;TUFM;MRPS16;MRPL16;CHCHD1;MRPL14;MRPL37;MRPS17;MRPS7;MRPS23;MRPL11;MRPS30;MRPL4;MRPS11;DAP3;MRPL13;MRPS27;RARS2;MRPS36;MRPL21;2810006K23RIK;PDF;MRPL44;MRPS22;CARS2;MRPS34;MRPS9;MRPL24;PUSL1;MRPS35;MALSU1;KARS;MRPL38;TARS2;ERAL1;MRPS5;MRPL22;MRPS6;FARS2;MRPL3;MRPL50;MRPL43;MRPL52;MRPL32;SARS2;DDX28;MTG2;MRPL47;MRPL27;GATC;SLIRP;MRPS25;PPA2;MRPS2;RMND1;NGRN;MTG1;NSUN4;MRPL49;PARS2;MRPL53;NOA1;MRPL10
prerank,"Protein import, sorting and homeostasis",-0.6625025610680098,-3.324940155617903,0.0,0.0,0.0,50/83,16.75%,UQCRC1;TIMM50;DNAJC15;PARK7;GRPEL1;TIMM17A;TIMM23;TOMM40;SAMM50;TIMM8A1;TOMM6;TIMM13;CLPP;STOML2;PHB2;PHB;TIMM17B;HSPD1;GFER;PARL;HTRA2;DNAJC19;PAM16;TOMM5;TOMM20;TOMM22;ROMO1;HSPE1;TIMM22;TIMM10B;UQCRC2;MTX1;CHCHD4;AIFM1;TIMM44;TIMM8B;PMPCA;PDF;DNAJC11;DNLZ;TRAP1;TIMM10;MTX2;TOMM20L;IMMP2L;LAP3;TOMM34;IMMP1L;AFG3L2;TOMM40L
prerank,Complex V,-0.8222693478345185,-2.9797664019698833,0.0,0.0,0.0,16/18,13.82%,ATP5G1;ATP5O;ATP5C1;ATP5D;ATPIF1;ATP5A1;ATP5B;ATP5J;ATP5L;ATP5H;ATP5J2;ATP5K;ATP5E;ATP5G3;ATPAF1;TMEM70
prerank,CV subunits,-0.8506196006408205,-2.8592408204606454,0.0,0.0,0.0,14/15,12.94%,ATP5G1;ATP5O;ATP5C1;ATP5D;ATPIF1;ATP5A1;ATP5B;ATP5J;ATP5L;ATP5H;ATP5J2;ATP5K;ATP5E;ATP5G3
