Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Translation,-0.5834146448586434,-3.1171125904366748,0.0,0.0,0.0,99/147,26.26%,HEMK1;MRPL3;GARS;PTCD3;MRPL12;MRPS18A;MTIF3;MRPS22;MRPS10;MRPS27;MRPL17;FASTKD2;RARS2;MRPS11;MRPS15;MRPL20;MRPL19;MRPL47;CARS2;KARS;TUFM;MRPL15;VARS2;MRPL28;MRPS18B;MRPS7;AARS2;GADD45GIP1;MRPS23;MRPS12;MRPL16;MRPL38;MRPL54;MRPS6;MRPS36;MRPL37;DHX30;LRPPRC;MRPL10;MRPL48;MRPL2;PPA2;MRPS30;MRPS16;MRPL22;MRPL40;CHCHD1;MRPS5;TSFM;MRPL46;ERAL1;GFM1;HARS2;MRPS18C;MRPL18;MARS2;MRPL45;COA3;MRPL41;SARS2;MRPL35;MRPL11;MRPL55;MPV17L2;MRPL21;MRPS34;AURKAIP1;MRPL51;MRPS21;MRPL27;TARS2;MRPL36;MRPL24;MRPL13;PUSL1;PDF;YARS2;EARS2;MRPS28;MRPS26;MRPL30;MRPL50;OXA1L;MRPS14;MRPS2;MRPL44;MRPL49;MRPL34;MRPS17;MRPL39;MRPS25;MIEF1;DAP3;MALSU1;MRPS9;MRPL14;MRPL53;MRPL9;MRPS24
prerank,Mitochondrial ribosome,-0.6693848483317419,-3.0267340554824678,0.0,0.0,0.0,73/81,28.21%,MRPL3;PTCD3;MRPL12;MRPS18A;MRPS22;MRPS10;MRPS27;MRPL17;MRPS11;MRPS15;MRPL20;MRPL19;MRPL47;MRPL15;MRPL28;MRPS18B;MRPS7;GADD45GIP1;MRPS23;MRPS12;MRPL16;MRPL38;MRPL54;MRPS6;MRPS36;MRPL37;MRPL10;MRPL48;MRPL2;MRPS30;MRPS16;MRPL22;MRPL40;CHCHD1;MRPS5;MRPL46;MRPS18C;MRPL18;MRPL45;MRPL41;MRPL35;MRPL11;MRPL55;MRPL21;MRPS34;AURKAIP1;MRPL51;MRPS21;MRPL27;MRPL36;MRPL24;MRPL13;MRPS28;MRPS26;MRPL30;MRPL50;MRPS14;MRPS2;MRPL44;MRPL49;MRPL34;MRPS17;MRPL39;MRPS25;DAP3;MRPS9;MRPL14;MRPL53;MRPL9;MRPS24;MRPL42;MRPS33;MRPL4
prerank,"Protein import, sorting and homeostasis",-0.6340182097822493,-3.0062041868763627,0.0,0.0,0.0,56/83,23.18%,TOMM20L;IDE;DNAJC11;DNAJC15;PMPCA;TOMM40;TIMM8A1;TIMM17A;PITRM1;GRPEL1;STOML2;HSPE1;FKBP10;TIMM44;TOMM70A;AIFM1;SAMM50;MUL1;TRAP1;TIMM13;TIMM50;PHB;HSPD1;MTX1;DNAJC19;TIMM22;PARL;GFER;TOMM5;TIMM23;TOMM40L;CLPB;TIMM10;PHB2;UQCRC2;DNLZ;HTRA2;MIPEP;DNAJA3;ROMO1;CHCHD4;AFG3L2;TIMM10B;PAM16;LAP3;TOMM6;TOMM20;CLPX;PDF;AFG3L1;CLPP;TIMM8B;OXA1L;TOMM22;UQCRC1;PARK7
prerank,OXPHOS,-0.5926631371129507,-2.958595844665692,0.0,0.0,0.0,103/136,31.72%,NDUFAF2;SDHD;ATP5K;UQCC2;COA7;ATP5E;BCS1L;NDUFC1;AIFM1;NDUFAF4;NDUFA5;ECSIT;UQCRQ;HIGD1A;CMC2;NDUFS1;UQCRC2;ATP5J2;CYC1;COX10;NDUFAF7;NDUFS6;NDUFB6;NDUFB7;CYCS;UQCC1;NDUFS2;NDUFAB1;NDUFB5;NDUFS4;COA3;NDUFV1;NDUFA12;NDUFA10;NDUFS3;CEP89;ATPAF2;ACAD9;COA4;NDUFS5;SCO2;NUBPL;NDUFB2;NDUFA3;UQCRFS1;ATP5G3;TMEM177;NDUFAF1;NDUFAF6;NDUFAF5;UQCR10;NDUFA9;COX7A2;UQCR11;NDUFA8;SMIM20;SCO1;FOXRED1;NDUFA2;NDUFC2;NDUFV2;NDUFV3;TMEM70;COX20;ATP5O;TMEM186;NDUFA11;COX7C;SDHB;COX11;SDHA;ATPAF1;UQCRC1;ATP5G1;NDUFS8;ATP5A1;ATP5H;NDUFS7;COX5B;ATP5C1;NDUFB9;NDUFA13;UQCRB;NDUFB10;NDUFB4;COX6C;SDHAF1;TIMMDC1;ATP5D;COX17;HCCS;TTC19;NDUFB8;NDUFA6;COX5A;LYRM7;COX7B;COX8A;ATP5B;ATP5J;PNKD;ATP5L;SDHAF2
prerank,Mitochondrial central dogma,-0.5329008027897548,-2.913150481769914,0.0,0.0,0.0,133/218,26.33%,TBRG4;HEMK1;MRPL3;GARS;PTCD3;MRPL12;MRPS18A;ATAD3A;MTIF3;MRPS22;MRPS10;MRPS27;MRPL17;SUPV3L1;FASTKD2;ELAC2;RARS2;MRPS11;MRPS15;MRPL20;MRPL19;DUS2;MRPL47;CARS2;KARS;TUFM;NSUN2;MRPL15;VARS2;MRPL28;MRPS18B;MRPS7;AARS2;GADD45GIP1;MRPS23;REXO2;MRPS12;MRPL16;PTCD1;MRPL38;MRPL54;MRPS6;MRPS36;MRPL37;DHX30;LRPPRC;FASTK;MRPL10;MRPL48;MRPL2;RECQL4;PPA2;MRPS30;MRPS16;MRPL22;PNPT1;MRPL40;CHCHD1;MRPS5;TSFM;MRPL46;HSD17B10;ERAL1;GFM1;HARS2;MRPS18C;MRPL18;MARS2;MRPL45;COA3;TRMT5;FASTKD5;MRPL41;SARS2;TEFM;MRPL35;ENDOG;MRPL11;MRPL55;MPV17L2;TRUB2;MRPL21;MRPS34;AURKAIP1;MRPL51;MRPS21;MRPL27;MYG1;TARS2;MRPL36;MRPL24;MRPL13;PUSL1;PDF;THG1L;YARS2;APEX1;EARS2;MRPS28;POLDIP2;MRPS26;PUS1;MRPL30;MRPL50;TRNT1;OXA1L;MRPS14;POLRMT;MRPS2;UNG;POLQ;OGG1;FASTKD3;PTCD2;MRPL44;MRPL49;MRPL34;TRIT1;MRPS17;MRPL39;MRPS25;MIEF1;DAP3;MALSU1;MRPS9;QTRT1;ALKBH1;MRPL14;MRPL53;MRPL9;TOP1MT;MRPS24;TRMT10C
prerank,Protein import and sorting,-0.6844476002356135,-2.8453885840794344,0.0,0.0,0.0,36/47,24.90%,TOMM20L;DNAJC11;DNAJC15;PMPCA;TOMM40;TIMM8A1;TIMM17A;GRPEL1;TIMM44;TOMM70A;AIFM1;SAMM50;TIMM13;TIMM50;MTX1;DNAJC19;TIMM22;GFER;TOMM5;TIMM23;TOMM40L;TIMM10;UQCRC2;MIPEP;ROMO1;CHCHD4;TIMM10B;PAM16;TOMM6;TOMM20;TIMM8B;OXA1L;TOMM22;UQCRC1;MTX2;PMPCB
prerank,Complex I,-0.6782203924307325,-2.8014809722140024,0.0,0.0,0.0,44/54,26.29%,NDUFAF2;NDUFC1;AIFM1;NDUFAF4;NDUFA5;ECSIT;NDUFS1;NDUFAF7;NDUFS6;NDUFB6;NDUFB7;NDUFS2;NDUFAB1;NDUFB5;NDUFS4;NDUFV1;NDUFA12;NDUFA10;NDUFS3;ACAD9;NDUFS5;NUBPL;NDUFB2;NDUFA3;NDUFAF1;NDUFAF6;NDUFAF5;NDUFA9;NDUFA8;FOXRED1;NDUFA2;NDUFC2;NDUFV2;NDUFV3;TMEM70;TMEM186;NDUFA11;NDUFS8;NDUFS7;NDUFB9;NDUFA13;NDUFB10;NDUFB4;TIMMDC1
prerank,OXPHOS subunits,-0.6035120481273083,-2.721457552188467,0.0,0.0,0.0,65/82,31.70%,SDHD;ATP5K;ATP5E;NDUFC1;NDUFA5;UQCRQ;NDUFS1;UQCRC2;ATP5J2;CYC1;NDUFS6;NDUFB6;NDUFB7;CYCS;NDUFS2;NDUFAB1;NDUFB5;NDUFS4;NDUFV1;NDUFA12;NDUFA10;NDUFS3;NDUFS5;NDUFB2;NDUFA3;UQCRFS1;ATP5G3;UQCR10;NDUFA9;COX7A2;UQCR11;NDUFA8;NDUFA2;NDUFC2;NDUFV2;NDUFV3;ATP5O;NDUFA11;COX7C;SDHB;SDHA;UQCRC1;ATP5G1;NDUFS8;ATP5A1;ATP5H;NDUFS7;COX5B;ATP5C1;NDUFB9;NDUFA13;UQCRB;NDUFB10;NDUFB4;COX6C;ATP5D;HCCS;NDUFB8;NDUFA6;COX5A;COX7B;COX8A;ATP5B;ATP5J;ATP5L
prerank,CI subunits,-0.6886980303309962,-2.682549636523453,0.0,0.0,0.0,30/36,25.81%,NDUFC1;NDUFA5;NDUFS1;NDUFS6;NDUFB6;NDUFB7;NDUFS2;NDUFAB1;NDUFB5;NDUFS4;NDUFV1;NDUFA12;NDUFA10;NDUFS3;NDUFS5;NDUFB2;NDUFA3;NDUFA9;NDUFA8;NDUFA2;NDUFC2;NDUFV2;NDUFV3;NDUFA11;NDUFS8;NDUFS7;NDUFB9;NDUFA13;NDUFB10;NDUFB4
prerank,Protein homeostasis,-0.5749868943882201,-2.475258918014681,0.0,0.0,0.0,28/49,20.78%,IDE;PMPCA;TIMM8A1;PITRM1;STOML2;HSPE1;FKBP10;MUL1;TRAP1;TIMM13;PHB;HSPD1;PARL;CLPB;TIMM10;PHB2;DNLZ;HTRA2;MIPEP;DNAJA3;AFG3L2;TIMM10B;LAP3;CLPX;PDF;AFG3L1;CLPP;TIMM8B
