Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Mitochondrial ribosome,-0.7494769561261803,-3.27499330612344,0.0,0.0,0.0,74/81,22.45%,MRPS22;MRPL12;MRPS18A;MRPL47;MRPS10;MRPL16;MRPL54;MRPS15;MRPL15;GADD45GIP1;MRPL20;MRPS36;MRPS11;MRPL3;MRPS27;MRPS18B;PTCD3;MRPS21;MRPS18C;MRPL18;MRPL41;MRPL48;MRPL37;MRPS23;MRPS7;MRPS12;CHCHD1;MRPL35;MRPL55;MRPS6;MRPL36;MRPL28;MRPS34;MRPL46;MRPL22;MRPL11;MRPL30;MRPS28;MRPS16;MRPL17;MRPL51;MRPL34;AURKAIP1;MRPL21;MRPS26;MRPL38;MRPL13;MRPS14;MRPL2;MRPS30;MRPL42;MRPL19;MRPS33;MRPL23;MRPS24;MRPL53;MRPL50;MRPL45;MRPL40;MRPS5;MRPL1;DAP3;MRPS9;MRPS2;MRPL24;MRPL10;MRPS17;MRPS25;MRPL14;MRPL44;MRPL39;MRPL49;MRPL52;MRPS35
prerank,Translation,-0.6490560290727683,-3.2230843874396817,0.0,0.0,0.0,102/147,21.94%,MRPS22;MRPL12;MRPS18A;MRPL47;MRPS10;MRPL16;MRPL54;GARS;MRPS15;FASTKD2;MRPL15;GADD45GIP1;HEMK1;MRPL20;MRPS36;MRPS11;MRPL3;MRPS27;MRPS18B;PTCD3;MRPS21;MRPS18C;TUFM;MRPL18;MRPL41;MRPL48;MRPL37;MRPS23;MRPS7;MRPS12;CHCHD1;MTIF3;COA3;MRPL35;MRPL55;SARS2;MRPS6;MRPL36;MRPL28;TSFM;MRPS34;MRPL46;RARS2;MARS2;MRPL22;MRPL11;MRPL30;MRPS28;MRPS16;MRPL17;MRPL51;MRPL34;SLIRP;EARS2;CARS2;AURKAIP1;YARS2;LRPPRC;MRPL21;MRPS26;MRPL38;MRPL13;MRPS14;GFM1;ERAL1;MRPL2;MRPS30;MPV17L2;MRPL42;PUSL1;MRPL19;MRPS33;PPA2;KARS;MRPL23;MRPS24;AARS2;TARS2;RBFA;MRPL53;MRPL50;MALSU1;MRPL45;MRPL40;MRPS5;MRPL1;DAP3;MRPS9;MRPS2;MRPL24;VARS2;MRPL10;MRPS17;QRSL1;MRPS25;HARS2;MRPL14;DDX28;MRPL44;MRPL39;MRPL49;MRPL52
prerank,Protein import and sorting,-0.779285171458567,-3.2076212138966964,0.0,0.0,0.0,33/47,13.77%,TOMM20L;DNAJC15;TIMM8A1;TIMM17A;GRPEL1;TIMM13;ROMO1;TOMM40;DNAJC11;TIMM23;SAMM50;DNAJC19;TOMM5;MTX1;TIMM50;MIPEP;TOMM6;PAM16;AIFM1;TOMM40L;TOMM70A;TIMM10;PMPCA;TIMM8B;UQCRC2;TIMM22;TOMM20;GFER;TIMM44;TIMM10B;TOMM22;CHCHD4;UQCRC1
prerank,OXPHOS subunits,-0.7229273066034329,-3.134211579782186,0.0,0.0,0.0,66/82,17.86%,ATP5K;NDUFC1;ATP5E;UQCRQ;NDUFA5;SDHD;ATP5J2;NDUFB7;CYCS;NDUFB6;NDUFA3;UQCR10;COX7A2;NDUFB5;NDUFA12;NDUFS6;UQCR11;NDUFB2;CYC1;COX7C;NDUFA2;ATP5G1;NDUFS5;NDUFA11;UQCRC2;ATP5O;NDUFC2;NDUFAB1;COX6C;COX5B;UQCRFS1;NDUFA9;NDUFS1;NDUFV1;NDUFS4;NDUFS3;COX5A;NDUFA10;COX7B;SDHB;ATP5G3;NDUFB4;NDUFV2;NDUFS2;ATP5L;NDUFB10;UQCRB;ATP5H;NDUFA6;NDUFS8;NDUFS7;UQCRC1;COX8A;NDUFA4;NDUFB9;NDUFB8;COX6B1;NDUFA13;NDUFV3;HCCS;NDUFA8;ATP5D;ATP5A1;ATP5C1;COX6A1;ATP5B
prerank,Complex I,-0.7241570123868246,-3.132861746757601,0.0,0.0,0.0,41/54,15.97%,NDUFC1;NDUFA5;NDUFAF2;NDUFAF4;NDUFB7;NDUFB6;NDUFA3;NDUFB5;NDUFA12;NDUFS6;NDUFB2;ECSIT;AIFM1;NDUFA2;NDUFS5;NDUFA11;NDUFC2;NDUFAB1;NDUFAF6;NDUFA9;NDUFS1;NDUFV1;NDUFS4;NDUFS3;NDUFA10;NDUFB4;NDUFV2;NDUFS2;NDUFAF7;NDUFB10;NDUFA6;NDUFS8;NDUFS7;NDUFAF1;NDUFB9;NDUFB8;NUBPL;NDUFA13;NDUFAF5;NDUFV3;NDUFA8
prerank,CI subunits,-0.7798065703021825,-3.089286059095594,0.0,0.0,0.0,32/36,15.97%,NDUFC1;NDUFA5;NDUFB7;NDUFB6;NDUFA3;NDUFB5;NDUFA12;NDUFS6;NDUFB2;NDUFA2;NDUFS5;NDUFA11;NDUFC2;NDUFAB1;NDUFA9;NDUFS1;NDUFV1;NDUFS4;NDUFS3;NDUFA10;NDUFB4;NDUFV2;NDUFS2;NDUFB10;NDUFA6;NDUFS8;NDUFS7;NDUFB9;NDUFB8;NDUFA13;NDUFV3;NDUFA8
prerank,"Protein import, sorting and homeostasis",-0.6654109692685306,-3.0540003391933546,0.0,0.0,0.0,50/83,16.93%,TOMM20L;DNAJC15;HSPE1;TIMM8A1;TIMM17A;GRPEL1;TIMM13;PITRM1;ROMO1;TOMM40;DNAJC11;IDE;HSPD1;TIMM23;SAMM50;PHB;DNAJC19;STOML2;TOMM5;MTX1;TIMM50;MIPEP;TOMM6;PHB2;PAM16;AIFM1;TOMM40L;TOMM70A;TIMM10;PMPCA;TIMM8B;UQCRC2;TIMM22;TOMM20;PARL;GFER;CLPB;TIMM44;CASP3;TIMM10B;TRAP1;TOMM22;PARK7;CHCHD4;HTRA2;UQCRC1;TOMM7;CLPP;MUL1;AFG3L2
prerank,Complex IV,-0.6381588025845324,-2.679452219875705,0.0,0.0,0.0,29/42,28.14%,HIGD1A;CMC2;COX17;COX7A2;COA3;COX7C;COX20;COX6C;COX5B;COX10;COX5A;COX7B;COX11;COA4;SMIM20;COX8A;NDUFA4;COX6B1;COA7;COX19;COX6A1;PET100;CEP89;COX7A1;COX4I1;PNKD;TMEM177;COX6B2;SCO2
prerank,OXPHOS assembly factors,-0.592843874639043,-2.5096007738000887,0.0,0.0,0.0,38/55,32.31%,UQCC2;HIGD1A;NDUFAF2;NDUFAF4;CMC2;COX17;COA3;ECSIT;AIFM1;COX20;BCS1L;NDUFAF6;COX10;NDUFAF7;UQCC1;COX11;COA4;SMIM20;NDUFAF1;NUBPL;NDUFAF5;COA7;COX19;PET100;SDHAF1;CEP89;TMEM70;PNKD;TMEM177;TTC19;NDUFAF3;TMEM186;SCO2;ATPAF1;TMEM126A;SDHAF2;COX18;ATPAF2
prerank,Protein homeostasis,-0.5776636662649255,-2.3723602746184134,0.0,0.00044997219272966283,0.001,30/49,25.22%,HSPE1;TIMM8A1;TIMM13;PITRM1;IDE;HSPD1;PHB;STOML2;MIPEP;PHB2;TIMM10;PMPCA;TIMM8B;PARL;CLPB;CASP3;TIMM10B;TRAP1;PARK7;HTRA2;CLPP;MUL1;AFG3L2;DNAJA3;CLPX;LAP3;LACTB;PMPCB;PDF;AFG3L1
